"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.010950426138103616,0.007181224267977469,0.004749115762702017,0.0032732811800544833,0.0022568884505905122,0.0015489371873098259,0.0009319745896685935,0.0005582169761051655,0.00034339916570977775,0.0002200498507868173,0.00014563037372415636,9.937212031047455e-05
[8.0-8.5),,,,,,,,,,0.017605403718225127,0.011172307049617955,0.007241282390815709,0.004789461575159536,0.0032778997549559284,0.0022842546436786424,0.001564764775550801,0.0009284618836949735,0.0005599257766280907,0.00034485407223121934,0.00021974884753239295,0.0001452967735782605,9.918639995424057e-05
[7.5-8.0),,,,,,,,,,0.017823280241781366,0.011075131115270588,0.00729241512261037,0.004811079356837138,0.0032976811681225946,0.002291357675320644,0.0015670667792969052,0.0009352665884886185,0.0005594495958970224,0.00034206624699092264,0.00022035216643951708,0.00014564110151437854,9.973371596167003e-05
[7.0-7.5),,,,,,,,,,0.01764854471321945,0.011286989900239833,0.007325955195225444,0.004856548487098646,0.003329888483607625,0.002332822191362998,0.0015668967270353524,0.0009358314126960574,0.00056095994792968,0.00034484059065868295,0.00022023418348282928,0.00014524105347697144,9.941887690902681e-05
[6.5-7.0),,,,,,,,,,0.018094710264170175,0.011288379564858179,0.007307306849651314,0.0048873917175423255,0.003330052110755254,0.0023513420699343285,0.0015752053251555547,0.0009418722687148506,0.000562168472453255,0.0003468541877743051,0.0002197669742102709,0.00014533615463593896,0.00010009465924898106
[6.0-6.5),,,,,,,,,0.02986864585209082,0.018274073162449164,0.011386151285038372,0.00738586384202021,0.0049044255159991805,0.0033587242726010216,0.0023906296309738504,0.0015894615045974048,0.0009408924729437035,0.0005631054064311319,0.0003458297960879008,0.00021956507123880158,0.00014626601711553792,9.944522153592099e-05
[5.5-6.0),,,,,,,,,0.030026260092629386,0.018359577490608545,0.011430650273082429,0.007455129184807181,0.004953163446172384,0.0033775247667476973,0.0024038646536026073,0.001598434198404204,0.0009433981936678393,0.000562479353388258,0.00034647341148617025,0.0002208001853997456,0.00014623472583836857,9.956326397654552e-05
[5.0-5.5),,,,,,,,0.0519429230874173,0.030135839029900833,0.018557633590562343,0.0115837643461495,0.0074796279680029885,0.004978841157173968,0.003397428400603646,0.0024215101417106653,0.0016135312718427196,0.0009461468944750909,0.0005631923510345625,0.0003451210283563479,0.00022031290286608155,0.00014603654641915913,9.910601662224329e-05
[4.5-5.0),,,,,,,,0.05210329480132716,0.030563873809368338,0.018633977458885207,0.011725071079489901,0.007572718645963866,0.004986356213505382,0.0034085956677831143,0.0024540134565014687,0.0016235573115030732,0.0009520991170075284,0.0005633595991305127,0.0003445184830778191,0.00022091930011252457,0.00014505152664611234,0.00010012191114778882
[4.0-4.5),,,,,,,0.09633080798306916,0.052977121068439784,0.03113306047627081,0.018971025033114475,0.011794988145499462,0.007709484973608586,0.005063525091315758,0.003435786122672236,0.0025009287052889305,0.0016388086988119311,0.0009515448086179896,0.0005637285817764351,0.0003494635485456311,0.0002222380230707251,0.00014525374969065791,9.939158083535278e-05
[3.5-4.0),,,,,,0.18042949070888456,0.09605144118301578,0.05426636836894795,0.031075572314731997,0.0192380775085999,0.012016385286179748,0.007750758692059945,0.005096159895798529,0.003464149420909383,0.0025349800107989464,0.0016486028896429369,0.0009593700609271726,0.000567180540313652,0.0003470633777541674,0.00022169718790215518,0.00014651278625510351,9.976391170876114e-05
[3.0-3.5),,,,,,0.18671136141878297,0.09771776230578098,0.05476068219484584,0.03177014747327123,0.01939809639572058,0.012087149477151442,0.007801667836450843,0.0051690485713964405,0.0035001740237441395,0.0025724309463973313,0.001668922876216495,0.0009620367369836775,0.0005680317127161965,0.00034615902691875983,0.0002217416504894592,0.00014566894954056288,9.980543316422234e-05
[2.5-3.0),,,,,,0.18836074167038339,0.10020054622943549,0.056380252455046125,0.03240891023248729,0.019722782445932015,0.01227810634410611,0.007942802848591966,0.005186383974412281,0.00351772356797246,0.0026173134943191676,0.0016777925905993951,0.0009618689800428882,0.0005663125023874922,0.0003490373577611718,0.00022254003137894121,0.00014617529341911595,0.00010016481137243889
[2.0-2.5),,,,,0.3981844098020348,0.1920378737056849,0.1027445338401405,0.057277109817318185,0.03326993019404877,0.020046228598599294,0.012409980138694652,0.008028310816012943,0.005230480349378643,0.0035564160448636113,0.0026757347851162324,0.001690999921517955,0.0009668061832508997,0.0005677048927108055,0.00034849962262157805,0.00022284257891649496,0.00014673466374816752,0.0001000346956227079
[1.5-2.0),,,,0.8376050869632682,0.4015851661064198,0.19818185511607603,0.1039457155350099,0.05841792514148792,0.03375531744940212,0.02047847850821687,0.012665404979237831,0.008130558240693348,0.00529485194745961,0.0035779485308580386,0.0027432497207054507,0.0017099336418593734,0.0009671461668869003,0.0005706241475171628,0.00034886504934561664,0.0002211251140036153,0.00014643013029071243,0.00010024860990185671
[1.0-1.5),,,1.7083758184794324,0.8669942511669929,0.41600814553723675,0.20546513341954206,0.1082889171177805,0.059374464971299744,0.034385058093459084,0.02078877269445077,0.012966771312322066,0.008309309523302284,0.0053478973261159015,0.0036171205017429607,0.002812062401658796,0.0017278017217339085,0.0009737736200697166,0.0005705732750839924,0.00035011955978083423,0.00022151792184507362,0.00014667293602128618,0.00010036902307686788
[0.5-1.0),,2.041871649662448,1.8313302627530157,0.9164307578852398,0.4382131811694722,0.21232612868569162,0.11090054965628622,0.06140140223395906,0.03534866228482,0.021295024610634934,0.013213824644253483,0.008440076605680752,0.005412199914076222,0.003669531381008015,0.0028885467675886204,0.0017478458422691685,0.0009792492232000621,0.0005706326690696264,0.0003485191435909423,0.00022237154513680618,0.00014603500916838172,0.00010016838061620227
[0.0-0.5),0.5204567386946749,2.0415478597677574,2.012763874786007,1.0250826147149505,0.47923682667533585,0.2265970365340745,0.11537240768183146,0.0630264773532486,0.03661802657170773,0.021790378378742776,0.013445962957975245,0.008567757131338734,0.005473180311314114,0.0036928714220235285,0.00297829355298332,0.0017635647942224617,0.0009799210986573491,0.0005713692409107098,0.0003486372466390524,0.0002228661223891653,0.00014591906516444258,9.996194343275262e-05
