"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [NÂ·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,315467.9366253267,273858.69421275944,269481.1226691423,199760.25678518123,183541.76376894175,143062.05667289073,114933.73394823185,133224.406100227,103512.25220349812,90546.95016388576,83867.96239678365,63964.16692640705
[8.0-8.5),,,,,,,,,,393206.2880961189,302698.8105211778,254861.382965739,217374.47477961535,180603.230839335,158298.3812607784,138830.17481657336,129343.38928729977,101056.56060042474,98626.7275121401,84660.5525824404,73482.70639222363,76564.4484510939
[7.5-8.0),,,,,,,,,,399959.4791725403,327211.5009932688,261786.36904805285,204699.58736458243,182648.58709980195,161218.00192321755,137521.8365859023,99839.81562619875,88752.8588477504,82399.33889486954,77602.63045593111,71941.00257533943,64367.96230097924
[7.0-7.5),,,,,,,,,,353537.9048327569,273700.75456288754,215266.64208834033,190959.64737159948,188828.4968369386,147176.79183952603,128435.48383861114,97998.13769064458,92178.44447959242,83873.87970493657,68994.86702468152,67525.47521948296,57523.9306768825
[6.5-7.0),,,,,,,,,,321819.9521660664,256816.83679123686,215072.350978858,207254.03020468904,209297.60653632198,130663.3145134949,138560.55820881441,97419.62541537154,85867.58778529264,74786.23233095587,67020.56183726089,58383.988544979315,53029.93560594405
[6.0-6.5),,,,,,,,,345831.8891629798,336118.1758794104,222844.44217890754,202694.70517672607,180597.70666139535,147320.36454266962,135044.0014970706,104415.79483427115,82309.87993586328,82269.19749652188,72730.2271547288,62082.64196125355,54399.46690894812,50277.60850824433
[5.5-6.0),,,,,,,,,314862.87861647044,312539.5942427514,224160.18508773512,211489.33461773576,169745.38338490782,126963.567005398,129187.29238794191,109819.16431369532,73015.74841628737,71616.0946012542,66281.9133370443,59362.28150867348,52980.01271963735,53596.8687787712
[5.0-5.5),,,,,,,,358628.14044553554,298972.5681884192,233512.55379022282,197966.7252977874,209238.9682099904,162904.82432236185,120747.5227021141,115151.09848674694,88950.9691642193,66807.38945165995,74023.91661135988,55368.75861846901,53890.931479471976,48800.18442552122,43293.252003865084
[4.5-5.0),,,,,,,,414413.3659469242,264325.075870216,249923.73623163978,197173.30050055016,159735.3871435983,125479.37482401777,111953.3381912934,98034.69575268685,76624.67773252788,60545.777931619436,59831.0458182026,50525.509609321154,52225.64374465727,43585.21487744953,37539.83862549139
[4.0-4.5),,,,,,,385736.56535375613,328407.9600744183,254700.03929087316,180778.84827313275,165625.32075777632,142345.71591697083,121984.97100560549,90581.90330122231,83303.14411747699,77147.70580607944,60797.85269533604,53097.65022913714,53152.34508090187,44422.58885340624,39735.43833903839,32475.488996688186
[3.5-4.0),,,,,,429597.2956854854,363349.41687992384,261802.59268500574,219923.27890363085,178354.66376075795,158374.45719700516,127997.06558199038,106521.30392226594,86926.39269355353,81494.99032403975,61647.41076433449,55826.50369791827,47915.23222304937,41210.71900480889,38151.92462130881,35546.6675051669,32156.41666217931
[3.0-3.5),,,,,,447368.77972518007,354355.90655065776,222565.9687031216,175108.79513334497,171827.99504861055,130163.932008892,113646.30552413232,99029.11309530487,76379.86525689576,63559.116035844694,59385.70982620842,45616.39628851781,43379.805617615675,36509.64082479468,31728.940818059058,31305.831780424334,25138.16448528287
[2.5-3.0),,,,,,317580.04557671596,245543.29186868193,216833.58728772405,160494.67291167352,134212.25128922026,113104.17411445806,91758.44277682625,81476.20602419421,62983.36260087391,59406.580814130786,46497.164449231466,37025.85239258873,36375.17497598118,29764.5207159428,29564.79713287776,25326.55396587279,21478.106368349472
[2.0-2.5),,,,,339006.78287917265,233046.62768202677,215545.0225412257,169714.61356872844,142733.6888951161,100433.38486454825,92718.7489881545,79473.53095254478,64410.280508058124,51253.91117309025,46534.17457333779,40033.791346417245,31709.072808993133,29775.85086643529,24106.65823684233,24917.623398717955,20627.425776222513,19047.218793493397
[1.5-2.0),,,,279731.1481288784,239519.46543262308,208484.25978203796,169196.27513353358,131914.95950954972,103058.6816009013,92593.5578107254,66353.33509569438,57911.84579767613,52492.465844490405,42812.17482660605,34242.91782182945,29739.049169050202,23595.885296398214,20675.7920140839,20025.650601919937,19134.760603914634,17152.685575615098,15506.632764308131
[1.0-1.5),,,188914.28180838597,209455.93616779032,176389.92664045893,136725.8366426207,121747.67864444446,94645.57234714268,91054.70284240121,63825.14570476006,48645.26891257944,44878.53284139959,41085.700782516586,30510.720180506363,27992.055538647295,22437.16152332741,16563.52452666577,15978.577822663738,15629.692503934348,12456.189156906185,11630.47686868255,10245.801491077182
[0.5-1.0),,69425.71886716061,120497.61092344593,132173.40198974445,114461.2499203486,102081.32422406606,70884.84521687163,59551.56159480713,46977.080693081574,36451.66629246911,30047.23574993983,27071.138923341663,23794.586104622333,18261.566555076657,16955.221929815267,13302.061440341562,10087.814223806314,8737.985972813223,9478.21702729392,7587.594274243642,7448.486852186268,6285.774536246244
[0.0-0.5),6433.200112145233,22291.2820380154,41177.30432275987,39021.965948577825,43031.04644680328,28669.3754086335,24808.6675490298,19242.40329289652,17060.124599740666,12900.708837305485,11583.037325748266,9262.065797960215,7208.817682568859,6244.867590277399,5329.65756748414,4210.810055825246,3635.0060949005265,2957.366963885003,2942.020173309493,2623.729387967228,2483.7820545081063,1879.054543355332
